Place of interest;Type of place;Place address;BiciMAD station;Station location
Iglesia Cristiana Adventista del Séptimo Día. Madrid Grupo Brasileños;no_catolicas;"CALLE MARQUESA DE ARG&amp;Uuml;ESO 24";Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Iglesia Cristiana Adventista del Séptimo Día. Madrid Horeb;no_catolicas;CALLE DOCTOR ZOFIO 4;Caramuel;Calle Caramuel nº 51
Iglesia Cristiana Adventista del Séptimo Día. Madrid Resurrección;no_catolicas;CALLE AUSTRIA 2;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Iglesia Cristiana Adventista del Séptimo Día. Madrid Vallecas;no_catolicas;CALLE DOCTOR BELLIDO 13;Concordia;Calle Arroyo del Olivar nº 6
Iglesia Cristiana Adventista del Séptimo Día. Madrid Ventas;no_catolicas;CALLE HERMANOS GOMEZ 32 local;José María Pereda;Calle José María de Pereda nº 1
Iglesia Cristiana Adventista del Séptimo Día. Proyecto Cero;no_catolicas; ;Puente Praga;Paseo de la Esperanza nº 59
Iglesia Cristiana Evangélica en Hortaleza (Eben Ezer);no_catolicas;CALLE SANTA VIRGILIA 5 POSTERIOR;Carlota O’Neill;Calle Carlota O'Neill nº 32
Iglesia Cristiana Hosanna;no_catolicas;CALLE ALFARO 34 - 36;Caramuel;Calle Caramuel nº 51
Iglesia Cristiana Reconcíliate con Dios;no_catolicas;CALLE SECOYA 18 PLANTA 2;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Iglesia Cristiana Redimida de Dios;no_catolicas;CALLE RESINA 29;Glorieta de Cádiz;Calle Antonio López nº 129
Iglesia Cristiana Reformada;no_catolicas;CALLE CESAR GONZÁLEZ RUANO 25;Derechos Humanos;Calle Derechos Humanos nº 12
Iglesia Cristiana Shalom Adonai;no_catolicas;PLAZA MONDARIZ 10 Local 5;Pedro Rico;Calle Pedro Rico nº 4
Iglesia Cristiana Verbo;no_catolicas;CALLE CIRCE 32;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Iglesia Cristo Rey de Argüelles;catolicas;CALLE MARTIN DE LOS HEROS 91;Altamirano;Calle Altamirano nº 24
Iglesia Cuerpo de Cristo, Avelino;no_catolicas;CALLE AVELINO FERNANDEZ DE LA POZA 4;Méndez Álvaro;Calle Retama nº 5
Iglesia Cuerpo de Cristo, Don Pedro;no_catolicas;CALLE DON PEDRO 10;Plaza de los Carros;Carrera de San Francisco nº 1
Iglesia Cuerpo de Cristo, General;no_catolicas;CALLE GENERAL SERRANO ORIVE 3;San Delfín;Calle San Delfín nº 9
Iglesia Dios es Amor - Unión Cristiana;no_catolicas;CALLE PRUDENCIO ALVARO 46;C.D. Concepción;Calle Jose del Hierro nº 5
